name,score
NMCS,98.0
NMCS,92.0
NMCS,99.0
NMCS,96.0
NMCS,98.0
NMCS,92.0
NMCS,93.0
NMCS,106.0
NMCS,97.0
NMCS,98.0
NMCS,95.0
NMCS,94.0
NMCS,93.0
NMCS,94.0
NMCS,97.0
NMCS,99.0
NRPA,64.0
NRPA,55.0
NRPA,64.0
NMCS,94.0
NMCS,95.0
NMCS,102.0
NRPA,64.0
NMCS,89.0
NMCS,90.0
NMCS,84.0
NMCS,89.0
NMCS,90.0
NMCS,80.0
NMCS,99.0
NMCS,103.0
NMCS,93.0
NMCS,94.0
NMCS,90.0
NMCS,90.0
NMCS,87.0
NMCS,95.0
NMCS,97.0
NMCS,103.0
NMCS,94.0
NMCS,99.0
NMCS,100.0
Random Search,62.0
Random Search,22.0
Random Search,65.0
Random Search,21.0
Random Search,68.0
Random Search,63.0
Random Search,59.0
Random Search,58.0
NMCS,101.0
NMCS,102.0
NMCS,98.0
NMCS,99.0
Random Search,29.0
Random Search,34.0
Random Search,66.0
Random Search,64.0
NMCS,98.0
NMCS,95.0
NMCS,101.0
NMCS,99.0
NMCS,95.0
NMCS,98.0
NMCS,100.0
NMCS,94.0
NRPA,98.0
NRPA,95.0
NRPA,99.0
NRPA,102.0
NRPA,98.0
NRPA,99.0
NRPA,103.0
NRPA,91.0
NRPA,94.0
NRPA,95.0
NRPA,99.0
NRPA,97.0
NRPA,99.0
NRPA,102.0
NRPA,100.0
NRPA,100.0
NRPA,99.0
NRPA,99.0
NRPA,97.0
NRPA,99.0
NRPA,97.0
NRPA,95.0
NRPA,94.0
NRPA,99.0
NRPA,100.0
NRPA,102.0
NRPA,99.0
NRPA,101.0
NRPA,101.0
NRPA,103.0
NRPA,103.0
NRPA,102.0
NRPA,100.0
NRPA,100.0
NRPA,102.0NMCS,93.0
